instrument,phase,strategy,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,exposure,n_trades,win_rate,profit_factor,avg_trade_return,avg_bars_held,trades_per_year,params
NVDA,in_sample,macd_momentum,285.3301051970133,0.2293910877097851,0.41987723785297404,0.701810519734691,0.744385588169934,-0.670121687090083,0.34231258610042353,0.5065913370998116,446,0.4327354260089686,1.8026602590954157,0.020369319207682136,7.8408071748878925,16.28161668839635,"{""fast"": 5, ""slow"": 35, ""signal"": 5, ""allow_short"": false}"
NVDA,in_sample,double_low,22.25057555943205,0.12171582591668928,0.27432662860941986,0.551778417840093,0.4264943224787807,-0.7228845905266577,0.1683751839667978,0.2345357091119803,174,0.7298850574712644,2.0288687989062613,0.024962067257270616,9.304597701149426,6.352020860495437,"{""n"": 10, ""trend_n"": 200}"
NVDA,in_sample,rsi_reversion,11.34582318638512,0.09609169183179378,0.2224211098404775,0.5212756466099429,0.3306733877884339,-0.7068128716688489,0.13595068183310335,0.15254237288135594,99,0.7171717171717171,2.2351181510369127,0.0334171629682972,10.636363636363637,3.6140808344198176,"{""rsi_n"": 3, ""entry"": 15, ""exit_level"": 80, ""trend_n"": 200}"
NVDA,in_sample,bollinger_reversion,6.467219154808245,0.07615647379183277,0.23277514525099272,0.4273320702879441,0.28835281281355424,-0.5834603681218107,0.13052553001497672,0.1534115601912212,175,0.6971428571428572,1.82162112228979,0.01642615568873876,6.051428571428572,6.388526727509778,"{""n"": 10, ""k"": 1.5, ""trend_n"": 200}"
TSLA,walk_forward,ma_cross,10.603670787560615,0.2270526936362971,0.4137585972781327,0.7015669292906571,0.7395019802515157,-0.6978158726233719,0.3253762239352829,0.5495197085127526,81,0.4074074074074074,2.1914897037066527,0.05050355791156299,20.48148148148148,6.76117919841007,
TSLA,walk_forward,tsmom,5.0535816725581,0.16218597399947488,0.3855856954268604,0.5830162821204338,0.5941120099050985,-0.5405195783593083,0.3000556880691977,0.5044716793640278,151,0.4370860927152318,2.2744554285089102,0.02964436520647723,10.079470198675496,12.604173567406427,
TSLA,walk_forward,donchian_breakout,2.8922095423859058,0.12011979839942932,0.3044689695327696,0.5245947871283403,0.43029501182367513,-0.45813114762457774,0.26219522296672837,0.3156674395495197,59,0.3898305084745763,2.0269724111425425,0.039714381324643194,16.152542372881356,4.924809539582643,
TSLA,walk_forward,macd_momentum,3.840879142674332,0.14070028405435742,0.4161751679282439,0.5227811655419516,0.6011793545770784,-0.6664296537988388,0.21112548526663802,0.5485260019874131,183,0.40437158469945356,1.387430686048637,0.01303803210356743,9.043715846994536,15.275256707519047,
TSLA,walk_forward,bollinger_reversion,-0.3136655575097085,-0.030929390316780325,0.19637436603698052,-0.06187616965680594,-0.029013332392850033,-0.5844873409281547,-0.05291712608807754,0.09804571050016561,53,0.5471698113207547,0.9500684981778991,-0.0015892530708003741,5.584905660377358,4.423981450811527,
TSLA,walk_forward,double_low,-0.5482052056536441,-0.0641688894783159,0.2826438169914232,-0.09220570430422118,-0.06090743202338907,-0.6833894860586724,-0.09389797587960941,0.21132825438887048,122,0.5737704918032787,1.1007699681864211,0.0028162800082389403,5.229508196721311,10.183504471679365,
TSLA,walk_forward,rsi_reversion,-0.5437338894152509,-0.06339928544333007,0.19520764331980597,-0.23504815443095822,-0.10275378482828558,-0.6507516639175488,-0.097424699710584,0.11129513083802584,61,0.5409836065573771,0.7046265822631539,-0.010156097335662577,5.508196721311475,5.0917522358396825,
TSLA,walk_forward,buy_hold,23.619348836545647,0.30656713611576647,0.5656336070099486,0.7546229818348423,1.1145329912571362,-0.736322175436441,0.4163491829294081,0.9996687644915535,1,1.0,,23.61934883654574,3018.0,0.08347134812851938,
TSLA,in_sample,ma_cross,344.50590981046,0.4416188578534008,0.41714144560215627,1.0833956838507544,1.2646955522919894,-0.6809744835922156,0.648510140238754,0.5555003724857214,109,0.43119266055045874,3.681075019620192,0.0963543688325317,20.522935779816514,6.82095852992302,"{""fast"": 10, ""slow"": 20, ""use_ema"": false, ""allow_short"": false}"
TSLA,in_sample,macd_momentum,97.17615194364168,0.33246238354582114,0.40981980596707107,0.9021138379477434,1.0696765054652626,-0.5812758501475573,0.571952857600097,0.5207350384901912,148,0.3716216216216216,2.4567281616316268,0.049067555321688446,14.16891891891892,9.261484976409237,"{""fast"": 12, ""slow"": 35, ""signal"": 9, ""allow_short"": false}"
TSLA,in_sample,tsmom,76.62859419238109,0.31302509188178607,0.4143866403115335,0.863092254401814,0.9831768951080089,-0.6799518284716739,0.46036362985503226,0.5550037248572138,188,0.35106382978723405,2.6273676976997886,0.045335888084150844,11.888297872340425,11.76458902408741,"{""lookback"": 20, ""trend_n"": 0, ""allow_short"": false}"
TSLA,in_sample,donchian_breakout,30.62694403894158,0.241280643634739,0.32498877167935664,0.8256523222675615,0.7498124321584883,-0.5523153060587729,0.43685308190438576,0.3317606158430593,79,0.4810126582278481,2.8864039643334714,0.06738505197617745,16.911392405063292,4.943630494164391,"{""entry_n"": 20, ""exit_n"": 5, ""allow_short"": false}"
TSLA,in_sample,rsi_reversion,0.7615724548823084,0.036067054827009004,0.15507027489978012,0.30488111665386636,0.10632853927377696,-0.44081511258925943,0.08181900710063765,0.045939905636950586,52,0.7307692307692307,1.9251071669036544,0.016830382092857542,3.5576923076923075,3.2540352619816244,"{""rsi_n"": 2, ""entry"": 5, ""exit_level"": 60, ""trend_n"": 200}"
TSLA,in_sample,bollinger_reversion,0.2895133369232261,0.016038545398126214,0.19572379211074728,0.1782815188786031,0.08261078987703527,-0.6713030805015996,0.02389166065816675,0.09212813508815496,57,0.631578947368421,1.4114923853539203,0.012772027488858327,6.508771929824562,3.566923267941396,"{""n"": 10, ""k"": 2.0, ""trend_n"": 200}"
TSLA,in_sample,double_low,0.01521618924830026,0.0009454675830706805,0.26873376260351745,0.13923982483448155,0.09073759782031524,-0.6931887210974045,0.0013639396520674586,0.20238390861683636,177,0.632768361581921,1.196090607010826,0.0052167521946353025,4.604519774011299,11.076235410975913,"{""n"": 5, ""trend_n"": 100}"
