symbol,date,strategy,side,entry_time,entry,stop,target,exit_time,exit,outcome,pnl_pct,risk_pct,r_multiple
GOOGL,2026-06-25,orb,1,10:00:00,340.75,338.29499799999996,345.6600040000001,15:55:00,343.559998,eod,0.007646509170946492,0.007204701393983964,1.0613221496357148
AVGO,2026-06-01,orb,1,10:30:00,456.23999,449.23999,470.23999,15:55:00,459.959991,eod,0.00755360573719115,0.015342802370305155,0.49232242942857607
AVGO,2026-06-04,orb,1,12:55:00,415.190002,409.350006,426.86999399999996,15:45:00,426.86999399999996,target,0.027531679336536486,0.014065839668268278,1.9573434637283949
NFLX,2026-06-18,orb,1,13:40:00,77.629997,76.9124985,79.06499400000001,15:55:00,77.330002,eod,-0.004464421120614136,0.009242541900394571,-0.4830295787378088
NFLX,2026-06-22,orb,1,09:45:00,76.800003,76.210003,77.98000300000001,10:05:00,76.210003,stop,-0.008282291366577165,0.007682291366577204,-1.0781016979660962
AMD,2026-06-18,orb,1,10:20:00,536.0,531.5,545.0,10:25:00,531.5,stop,-0.00899552238805974,0.008395522388059701,-1.0714666666666712
COIN,2026-06-01,orb,1,09:45:00,179.539993,177.859993,182.89999300000002,09:45:00,177.859993,stop,-0.009957246660915308,0.009357246660915303,-1.064121426071429
COIN,2026-07-02,orb,1,10:10:00,173.009705,168.8298495,181.369416,10:20:00,168.8298495,stop,-0.024759659135884914,0.024159659135884904,-1.0248347874705241
MSTR,2026-06-01,orb,1,09:45:00,148.5,146.3949965,152.71000700000002,13:00:00,152.71000700000002,target,0.02775021548821559,0.014175107744107808,1.9576722794047596
MSTR,2026-06-04,orb,1,09:45:00,129.289993,127.47504800000002,132.919883,12:30:00,127.47504800000002,stop,-0.014637784037933987,0.014037784037933968,-1.0427417887594406
MSTR,2026-06-08,orb,1,10:45:00,126.800003,124.9725,130.45500900000002,15:55:00,127.190002,eod,0.0024757018199756294,0.014412483886140028,0.17177481963094673
MSTR,2026-06-26,orb,1,09:45:00,84.480003,83.4050025,86.630004,09:55:00,86.630004,target,0.0248498215394241,0.012724910769711995,1.9528483923495938
MSTR,2026-06-29,orb,1,11:30:00,87.650002,86.1370015,90.67600300000001,13:00:00,90.67600300000001,target,0.03392368432347552,0.017261842161737817,1.9652412532580064
MSTR,2026-06-30,orb,1,10:15:00,87.139999,85.7425,89.934997,10:45:00,85.7425,stop,-0.016637399770913452,0.016037399770913428,-1.0374125487030776
MSTR,2026-07-02,orb,1,10:10:00,103.68,100.625,109.79000000000002,10:25:00,100.625,stop,-0.030065663580246937,0.02946566358024698,-1.0203626841243847
PLTR,2026-05-29,orb,1,09:45:00,152.929993,149.359993,160.06999299999998,15:55:00,156.589996,eod,0.02333253885782909,0.02334401466950955,0.9995084045378256
PLTR,2026-06-01,orb,1,09:45:00,161.300003,159.1500015,165.600006,10:00:00,159.1500015,stop,-0.013929209299518752,0.013329209299518748,-1.045013922920519
PLTR,2026-06-26,orb,1,09:45:00,111.050003,109.760002,113.63000500000001,11:35:00,113.63000500000001,target,0.0226327954101903,0.011616397705095097,1.9483488758535936
PLTR,2026-06-29,orb,1,09:50:00,118.379997,116.99054699999999,121.15889700000002,10:10:00,116.99054699999999,stop,-0.01233720252755206,0.011737202527552107,-1.0511195064234005
PLTR,2026-07-01,orb,1,09:55:00,124.669998,122.009998,129.989998,15:55:00,125.690002,eod,0.0075816316384315526,0.021336328247955942,0.35533909819548665
HOOD,2026-05-29,orb,1,09:45:00,88.940002,86.5875015,93.64500300000002,10:10:00,86.5875015,stop,-0.027050421037768845,0.026450421037768863,-1.0226839489300845
HOOD,2026-06-01,orb,1,11:15:00,90.370003,87.9649505,95.18010799999999,15:55:00,90.699997,eod,0.0030515877951226462,0.02661339404846536,0.11466360846592634
HOOD,2026-06-10,orb,1,09:45:00,91.350502,87.750252,98.55100200000001,11:10:00,87.750252,stop,-0.040011387142678226,0.039411387142678236,-1.0152240264426078
HOOD,2026-06-15,orb,1,10:45:00,100.410004,99.06500249999999,103.10000700000002,12:55:00,99.06500249999999,stop,-0.013995094576432953,0.013395094576432934,-1.04479251688567
HOOD,2026-06-23,orb,1,09:45:00,104.059998,102.5849995,107.00999499999999,09:45:00,102.5849995,stop,-0.014774500560724557,0.014174500560724576,-1.0423295337588465
HOOD,2026-07-02,orb,1,10:05:00,118.900002,115.7999995,125.100007,10:25:00,115.7999995,stop,-0.02667235027632715,0.02607235027632718,-1.0230128850541238
SOFI,2026-05-29,orb,1,11:10:00,18.440001,18.0600005,19.200001999999994,15:00:00,18.0600005,stop,-0.021207401268578962,0.020607401268578986,-1.0291157527424295
MARA,2026-06-22,orb,1,09:45:00,15.7,15.1,16.9,12:45:00,15.1,stop,-0.038816560509554135,0.03821656050955412,-1.0157000000000005
RIOT,2026-07-02,orb,1,09:55:00,23.905001,23.4975005,24.720001999999994,10:25:00,23.4975005,stop,-0.017646663164749454,0.0170466631647494,-1.035197504297544
SMCI,2026-05-29,orb,1,09:45:00,47.459999,45.8149985,50.75000000000001,10:45:00,45.8149985,stop,-0.03526077822715508,0.034660778227155076,-1.0173106326715402
SMCI,2026-06-01,orb,1,10:20:00,47.639999,46.6637495,49.592498000000006,15:55:00,46.880001,eod,-0.01655293904183337,0.020492223352061814,-0.8077668663594721
SMCI,2026-06-11,orb,1,12:45:00,30.139999,29.4870995,31.445798,15:30:00,31.445798,target,0.04272445399218487,0.021662226996092476,1.9723020167728686
SMCI,2026-06-22,orb,1,09:45:00,34.439999,33.369999,36.579999,14:00:00,36.579999,target,0.0615370517461397,0.031068525873069866,1.9806878510280364
INTC,2026-06-08,orb,1,10:55:00,111.0,109.25,114.5,15:45:00,109.25,stop,-0.016365765765765716,0.015765765765765764,-1.0380571428571397
QCOM,2026-07-01,orb,1,11:10:00,187.5,185.08999649999998,192.32000700000003,11:25:00,185.08999649999998,stop,-0.01345335200000004,0.012853352000000087,-1.0466804301321515
CRM,2026-06-01,orb,1,09:45:00,205.0,201.6050035,211.78999299999998,15:55:00,209.630005,eod,0.021985390243902603,0.016560958536585322,1.3275433420918241
