component,kind,avg_week,median_week,pct_pos_weeks,best_week,worst_week,n_weeks,cagr,max_dd
swing:donchian_breakout:VNQ,swing,0.0004933617286630133,0.0,0.3117583603020496,0.1461810990251129,-0.1045199692406582,927,0.016701691822957,-0.26546454495446015
swing:bollinger_reversion:NVDA,swing,0.0004903680149978721,0.0,0.08585445625511039,0.15991994221392902,-0.21399759441265787,1223,0.014441817170139482,-0.5357460080664227
swing:double_low:GLD,swing,0.0004896299481282998,0.0,0.17282608695652174,0.06597197481070172,-0.10298583328691813,920,0.022632492070629562,-0.38693028708472244
swing:double_low:GOLD,swing,0.0004873497352594091,0.0,0.18980667838312829,0.07009906303155322,-0.09635228647009253,1138,0.022378333786050142,-0.2863792536258939
swing:double_low:IWM,swing,0.00046077131455571357,0.0,0.18473547267996532,0.07613214966394266,-0.08867998717167158,1153,0.020367128035492232,-0.2479535898929277
swing:macd_momentum:SLV,swing,0.0004499919134156947,0.0,0.4,0.17767901166018873,-0.19776999334902134,845,-0.01206238608410204,-0.652102600446142
swing:rsi_reversion:GLD,swing,0.00044539270350031456,0.0,0.13152173913043477,0.06597197481070172,-0.07148251919849724,920,0.021637533077530913,-0.15484843911840684
swing:bollinger_reversion:EFA,swing,0.00044126523984192945,0.0,0.09926470588235294,0.04993456826473963,-0.06698604257638918,1088,0.02204342537355175,-0.1134341106816722
swing:tsmom:IWM,swing,0.00042743857189535153,0.0,0.34952298352124894,0.10039782059288993,-0.10885127569047781,1153,0.012750024648087832,-0.46665962904558655
swing:rsi_reversion:QQQ,swing,0.0004162267077968158,0.0,0.1437962202136401,0.06401077463958105,-0.07137441696629032,1217,0.01960548898474479,-0.21502681959876635
swing:double_low:EFA,swing,0.00039520906622354086,0.0,0.19301470588235295,0.05685726655811285,-0.09114343483014853,1088,0.017878361789822383,-0.22090825659806324
swing:bollinger_reversion:QQQ,swing,0.0003944584570976079,0.0,0.1076417419884963,0.06961862123479423,-0.07302419610713207,1217,0.01856534719676839,-0.33058604786128176
swing:turn_of_month:EFA,swing,0.0003907509262053608,0.0,0.2757352941176471,0.09343419198583924,-0.10650113240727876,1088,0.014637819789740547,-0.26749681956139404
swing:ma_cross:TLT,swing,0.00037741605844725056,0.0,0.3730769230769231,0.08801250097526592,-0.07693238258837132,1040,0.011914506389488544,-0.3305557208437301
buy&hold:SHY,baseline,0.00037635198570012247,0.0002415534730453306,0.5844675740592474,0.01305237095832057,-0.009404121144119482,1249,0.019770203966201993,-0.05707073596501833
swing:donchian_breakout:SPY,swing,0.0003559399434112301,0.0,0.3441769681197137,0.06806749795822187,-0.10193948213307746,1537,0.013257125049363161,-0.5945797066410529
swing:rsi_reversion:IWM,swing,0.0003520935809561747,0.0,0.10841283607979185,0.049801006946696535,-0.05335857763138552,1153,0.01661731281773804,-0.22860953007758322
swing:macd_momentum:DBC,swing,0.0003440292129143241,0.0,0.4252336448598131,0.15083103941722853,-0.06408343168317987,856,0.007881957327385392,-0.44803269766163123
swing:ma_cross:IEF,swing,0.000341535428708573,0.0,0.4125,0.03394896546268944,-0.03158648576402734,1040,0.016290732874354008,-0.16393206877759514
